Station Code,Latitude,Longitude,Start,End,Data Center(s)
ALHU,35.21327,-3.89014,2008-01-16,2009-07-08,ORFEUS
ALJ,36.52989,-5.64936,2007-02-21,2009-06-12,ORFEUS
CHAF,35.18352,-2.43086,2007-11-07,2009-04-12,ORFEUS
E001,36.17421,-5.83916,2007-06-28,2009-05-01,ORFEUS
E002,36.06102,-5.51366,2007-07-10,2009-06-15,ORFEUS
E005,36.4294,-5.26602,2008-02-14,2009-06-18,ORFEUS
E006,36.94916,-5.0446,2007-10-09,2009-06-23,ORFEUS
E007,36.86048,-3.42919,2007-09-13,2009-06-26,ORFEUS
E008,37.49686,-7.13043,2007-09-26,2009-06-23,ORFEUS
E009,37.41923,-6.76513,2007-09-26,2009-06-23,ORFEUS
E010,36.98864,-6.44312,2007-09-24,2009-06-24,ORFEUS
E011,37.2103,-5.99052,2007-09-23,2009-06-11,ORFEUS
E012,37.37104,-5.52492,2008-01-17,2009-07-07,ORFEUS
E013,36.96409,-4.53394,2007-10-05,2009-06-23,ORFEUS
E015,37.17427,-3.11149,2007-06-27,2009-06-25,ORFEUS
E016,37.96702,-7.05678,2007-09-26,2009-06-23,ORFEUS
E017,37.57205,-6.22895,2007-11-15,2009-06-19,ORFEUS
E018,37.98033,-5.95478,2007-09-16,2009-06-17,ORFEUS
E019,37.716017,-5.878767,2007-09-23,2009-06-16,ORFEUS
E020,37.56526,-4.84446,2007-07-05,2009-06-22,ORFEUS
E021,38.0057,-4.91626,2007-09-15,2009-06-17,ORFEUS
E022,37.90124,-4.38181,2007-09-25,2009-06-24,ORFEUS
E024,37.72248,-3.92414,2007-07-02,2009-06-24,ORFEUS
E025,37.70159,-3.46568,2007-06-22,2009-06-24,ORFEUS
E026,37.49521,-2.59449,2007-09-11,2009-06-25,ORFEUS
E028,38.35533,-6.80729,2007-09-13,2009-06-18,ORFEUS
E029,38.43967,-6.18313,2007-09-13,2009-06-02,ORFEUS
E030,38.46844,-5.62635,2007-09-16,2009-06-17,ORFEUS
E031,38.33934,-4.9967,2007-09-23,2009-06-16,ORFEUS
E032,38.11347,-3.48977,2008-06-04,2008-11-14,ORFEUS
E033,38.36159,-2.90741,2008-04-23,2010-02-28,ORFEUS
E034,38.22982,-2.19177,2008-06-03,2009-09-14,ORFEUS
E035,37.99496,-0.9356,2008-04-25,2009-10-07,ORFEUS
E036,38.84978,-6.43729,2009-07-22,2011-02-01,ORFEUS
E037,38.88549,-5.88158,2009-07-22,2011-01-24,ORFEUS
E038,38.73288,-5.23585,2009-07-23,2011-01-24,ORFEUS
E039,38.82259,-4.69487,2009-07-22,2010-12-13,ORFEUS
E040,36.60928,-4.1966,2009-07-23,2010-11-11,ORFEUS
E041,38.649967,-3.657233,2009-07-07,2010-10-23,ORFEUS
E042,38.81493,-3.02124,2009-07-23,2010-10-24,ORFEUS
E044,38.86194,-2.07257,2009-07-08,2010-10-18,ORFEUS
E045,38.77929,-0.85901,2009-07-16,2010-10-19,ORFEUS
E046,39.286233,-6.66788,2009-10-27,2011-02-01,ORFEUS
E047,39.284667,-6.188933,2010-01-27,2011-01-24,ORFEUS
E048,39.311981,-5.502986,2010-06-21,2011-02-04,ORFEUS
E049,39.17501,-4.8329,2009-09-21,2010-12-13,ORFEUS
E050,39.1026,-4.13363,2009-07-21,2010-11-11,ORFEUS
E051,38.992533,-3.671417,2009-10-07,2010-11-12,ORFEUS
E052,39.28296,-3.10022,2009-07-08,2010-10-24,ORFEUS
E053,39.18695,-2.5949,2009-07-08,2010-11-01,ORFEUS
E054,39.379704,-2.045986,2010-02-19,2010-10-24,ORFEUS
E055,39.175392,-1.37749,2009-07-17,2010-10-18,ORFEUS
E056,39.13196,-0.64468,2009-09-22,2010-10-19,ORFEUS
E057,39.75007,-6.59459,2009-07-02,2010-10-18,ORFEUS
E058,39.81934,-5.92389,2009-07-28,2011-01-25,ORFEUS
E059,39.73637,-5.15238,2009-07-27,2011-01-24,ORFEUS
E060,39.76146,-4.63368,2009-07-23,2010-12-09,ORFEUS
E061,39.65648,-3.26853,2009-07-29,2009-09-25,ORFEUS
E062,39.63995,-2.53125,2009-10-07,2011-01-11,ORFEUS
E063,39.953369,-2.07715,2010-03-03,2011-02-11,ORFEUS
E064,39.65542,-1.45901,2009-07-19,2010-10-19,ORFEUS
E066,39.8718,-0.42787,2009-05-23,2010-12-13,ORFEUS
E067,40.23368,-6.85784,2009-07-03,2010-10-19,ORFEUS
